port_name,H3_int_index_5,H3_int_index_7,convex_hull,number,type,area,length,shape_factor
Ras  tannurah,600446513637752831,609453712724721663,"POLYGON ((50.18166667 26.66666667, 50.18166667 26.67166667, 50.18204667 26.671955, 50.18207667 26.67197, 50.18336667 26.67205, 50.18345 26.67205, 50.1837 26.67188333, 50.183825 26.671395, 50.18377333 26.66748, 50.18333333 26.66666667, 50.18166667 26.66666667))",1,berth,1.1079605427807263e-05,0.014197613943393776,0.6907222289258486
Ras  tannurah,600446513637752831,609453712657612799,"POLYGON ((50.18166667 26.66333333, 50.182745 26.66390167, 50.18279667 26.66392667, 50.1829 26.66396667, 50.18370833 26.66402333, 50.183795 26.66398833, 50.18380833 26.66398, 50.18390167 26.663875, 50.18398167 26.66367333, 50.18392333 26.66356333, 50.18390833 26.66354333, 50.18333333 26.66333333, 50.18166667 26.66333333))",2,berth,1.0120511055517647e-06,0.005092409870502682,0.4904171003046488
Ras  tannurah,600445596662235135,609452952851054591,"POLYGON ((50.05833333 26.925, 50.05666667 26.92666667, 50.05666667 26.92833333, 50.05779833 26.93118167, 50.05833333 26.93166667, 50.05886667 26.93195, 50.05893333 26.93198333, 50.059465 26.932145, 50.06051667 26.93245, 50.06066667 26.93248333, 50.06131667 26.93241667, 50.06235 26.93215, 50.06269167 26.93194167, 50.06358667 26.93118667, 50.063715 26.93101, 50.06424667 26.93016167, 50.06431333 26.92983833, 50.064335 26.92914167, 50.06433 26.928995, 50.06425667 26.92844167, 50.06401333 26.927745, 50.06374833 26.92731833, 50.06333333 26.92666667, 50.06166667 26.925, 50.05833333 26.925))",3,SPM,4.4979324266702774e-05,0.024239964326286747,0.9619640408305029
Ras  tannurah,600445596662235135,609452795698872319,"POLYGON ((50.07 26.94333333, 50.06833333 26.945, 50.06833333 26.94666667, 50.07 26.94833333, 50.07124 26.949085, 50.07169333 26.94932333, 50.07226667 26.94952667, 50.07300667 26.94961167, 50.07314167 26.949615, 50.07385167 26.94962, 50.07446 26.94951833, 50.07498667 26.949325, 50.07539 26.949145, 50.07568 26.94889333, 50.07610333 26.94850667, 50.076575 26.94799667, 50.07664333 26.94784167, 50.07673167 26.94757833, 50.0771 26.94603333, 50.07666667 26.945, 50.075 26.94333333, 50.07 26.94333333))",4,SPM,4.356463137779144e-05,0.024325623624842578,0.9251580708198502
Ras  tannurah,600445596662235135,609452795195555839,"POLYGON ((50.0815 26.92405667, 50.07833333 26.925, 50.07833333 26.93, 50.080015 26.931015, 50.08047167 26.93127667, 50.08142 26.93160667, 50.08166667 26.93166667, 50.08181667 26.93169167, 50.08200333 26.93169333, 50.08315 26.9316, 50.083805 26.93145833, 50.08501833 26.93064, 50.08553667 26.929775, 50.08666667 26.925, 50.0815 26.92405667))",5,SPM,5.0630853005557385e-05,0.0268429502598923,0.8830079526534588
