port_name,H3_int_index_5,H3_int_index_7,convex_hull,number,type,area,length,shape_factor
Al jubayl,600445754502283263,609452952834277375,"POLYGON ((50.03333333 26.93833333, 50.03166667 26.94, 50.03166667 26.94333333, 50.03333333 26.945, 50.03445 26.9453, 50.03496667 26.94538333, 50.03546667 26.94543333, 50.03608333 26.94541667, 50.03675 26.94523333, 50.03738667 26.94505333, 50.03795 26.944625, 50.03873 26.94335, 50.038845 26.94316167, 50.03903333 26.94270667, 50.03909333 26.941845, 50.03891333 26.94128333, 50.03886667 26.94115, 50.03833333 26.94, 50.03666667 26.93833333, 50.03333333 26.93833333))",1,SPM,4.2917529997210225e-05,0.023667692101051453,0.9627926402498956
Al jubayl,600445754502283263,609452952834277375,"POLYGON ((50.03833333 26.925, 50.035 26.92833333, 50.03666667 26.93166667, 50.03901833 26.93233333, 50.03950167 26.932415, 50.04038333 26.93243333, 50.04097333 26.93237667, 50.04176833 26.93212, 50.042145 26.93194, 50.04252167 26.93169, 50.04292333 26.93119167, 50.04321333 26.93080833, 50.04338167 26.930575, 50.043585 26.93015667, 50.04383333 26.9291, 50.04333333 26.92666667, 50.04 26.925, 50.03833333 26.925))",2,SPM,4.800171853330021e-05,0.025391517880926636,0.9355980831166055
Al jubayl,600445754502283263,609452952918163455,"POLYGON ((50.04333333 26.94833333, 50.04166667 26.95, 50.04166667 26.95666667, 50.04720667 26.95524333, 50.048355 26.95460833, 50.04849 26.95452167, 50.04879 26.95430833, 50.05 26.95333333, 50.04968333 26.95168333, 50.04833333 26.94833333, 50.04333333 26.94833333))",3,SPM,5.412783541389731e-05,0.028430199379087508,0.841532151324838
Al jubayl,600445741617381375,609452940553355263,"POLYGON ((49.71833333 27.08666667, 49.71823167 27.08704, 49.71823667 27.08722, 49.718415 27.08714333, 49.718455 27.08711667, 49.7185 27.08708333, 49.71851667 27.08706667, 49.71855 27.08701667, 49.71856667 27.08698333, 49.71833333 27.08666667))",4,berth,1.011298944496709e-07,0.001379461428336693,0.6678367208726744
Al jubayl,600445741617381375,609452940553355263,"POLYGON ((49.72026 27.08325833, 49.72023167 27.08355, 49.72023667 27.083795, 49.72024 27.08381167, 49.72028 27.08381167, 49.7203 27.08378333, 49.72049333 27.083395, 49.72026 27.08325833))",5,berth,8.068693610024137e-08,0.0013339828930271375,0.5697870415352645
Al jubayl,600445741617381375,609452940368805887,"POLYGON ((49.70124667 27.085005, 49.70106667 27.08508333, 49.70108333 27.08513333, 49.70111667 27.08515, 49.70116667 27.08511667, 49.70128333 27.085015, 49.70124667 27.085005))",6,berth,1.25586499998451e-08,0.0005391187623946594,0.5429801190210852
