port_name,type,number,geometry,H3_int_index_13,H3_int_index_10,H3_int_index_7
Al-basra oil terminal,berth,1,"POLYGON ((48.80833333 29.68166667, 48.808 29.68333333, 48.80863333 29.68321667, 48.80885 29.68313333, 48.80898333 29.68303333, 48.80898333 29.68276667, 48.80833333 29.68166667))",635792492128230719,,
Al-basra oil terminal,berth,1,"POLYGON ((48.80833333 29.68166667, 48.808 29.68333333, 48.80863333 29.68321667, 48.80885 29.68313333, 48.80898333 29.68303333, 48.80898333 29.68276667, 48.80833333 29.68166667))",635792492128234303,,
Al-basra oil terminal,berth,1,"POLYGON ((48.80833333 29.68166667, 48.808 29.68333333, 48.80863333 29.68321667, 48.80885 29.68313333, 48.80898333 29.68303333, 48.80898333 29.68276667, 48.80833333 29.68166667))",635792492128117503,,
Al-basra oil terminal,berth,1,"POLYGON ((48.80833333 29.68166667, 48.808 29.68333333, 48.80863333 29.68321667, 48.80885 29.68313333, 48.80898333 29.68303333, 48.80898333 29.68276667, 48.80833333 29.68166667))",635792492128178943,,
Al-basra oil terminal,berth,1,"POLYGON ((48.80833333 29.68166667, 48.808 29.68333333, 48.80863333 29.68321667, 48.80885 29.68313333, 48.80898333 29.68303333, 48.80898333 29.68276667, 48.80833333 29.68166667))",635792492128230079,,
Al-basra oil terminal,berth,1,"POLYGON ((48.80833333 29.68166667, 48.808 29.68333333, 48.80863333 29.68321667, 48.80885 29.68313333, 48.80898333 29.68303333, 48.80898333 29.68276667, 48.80833333 29.68166667))",635792492128228287,,
Al-basra oil terminal,berth,1,"POLYGON ((48.80833333 29.68166667, 48.808 29.68333333, 48.80863333 29.68321667, 48.80885 29.68313333, 48.80898333 29.68303333, 48.80898333 29.68276667, 48.80833333 29.68166667))",635792492128227519,,
Al-basra oil terminal,berth,1,"POLYGON ((48.80833333 29.68166667, 48.808 29.68333333, 48.80863333 29.68321667, 48.80885 29.68313333, 48.80898333 29.68303333, 48.80898333 29.68276667, 48.80833333 29.68166667))",635792492128122239,,
Al-basra oil terminal,berth,1,"POLYGON ((48.80833333 29.68166667, 48.808 29.68333333, 48.80863333 29.68321667, 48.80885 29.68313333, 48.80898333 29.68303333, 48.80898333 29.68276667, 48.80833333 29.68166667))",635792492128230783,,
Al-basra oil terminal,berth,1,"POLYGON ((48.80833333 29.68166667, 48.808 29.68333333, 48.80863333 29.68321667, 48.80885 29.68313333, 48.80898333 29.68303333, 48.80898333 29.68276667, 48.80833333 29.68166667))",635792492128206975,,
Al-basra oil terminal,berth,1,"POLYGON ((48.80833333 29.68166667, 48.808 29.68333333, 48.80863333 29.68321667, 48.80885 29.68313333, 48.80898333 29.68303333, 48.80898333 29.68276667, 48.80833333 29.68166667))",635792492128233727,,
Al-basra oil terminal,berth,1,"POLYGON ((48.80833333 29.68166667, 48.808 29.68333333, 48.80863333 29.68321667, 48.80885 29.68313333, 48.80898333 29.68303333, 48.80898333 29.68276667, 48.80833333 29.68166667))",635792492128227455,,
Al-basra oil terminal,berth,1,"POLYGON ((48.80833333 29.68166667, 48.808 29.68333333, 48.80863333 29.68321667, 48.80885 29.68313333, 48.80898333 29.68303333, 48.80898333 29.68276667, 48.80833333 29.68166667))",635792492128225087,,
Al-basra oil terminal,berth,1,"POLYGON ((48.80833333 29.68166667, 48.808 29.68333333, 48.80863333 29.68321667, 48.80885 29.68313333, 48.80898333 29.68303333, 48.80898333 29.68276667, 48.80833333 29.68166667))",635792492128233791,,
Al-basra oil terminal,berth,1,"POLYGON ((48.80833333 29.68166667, 48.808 29.68333333, 48.80863333 29.68321667, 48.80885 29.68313333, 48.80898333 29.68303333, 48.80898333 29.68276667, 48.80833333 29.68166667))",635792492128231679,,
Al-basra oil terminal,berth,1,"POLYGON ((48.80833333 29.68166667, 48.808 29.68333333, 48.80863333 29.68321667, 48.80885 29.68313333, 48.80898333 29.68303333, 48.80898333 29.68276667, 48.80833333 29.68166667))",635792492128230655,,
Al-basra oil terminal,berth,1,"POLYGON ((48.80833333 29.68166667, 48.808 29.68333333, 48.80863333 29.68321667, 48.80885 29.68313333, 48.80898333 29.68303333, 48.80898333 29.68276667, 48.80833333 29.68166667))",635792492128209215,,
Al-basra oil terminal,berth,1,"POLYGON ((48.80833333 29.68166667, 48.808 29.68333333, 48.80863333 29.68321667, 48.80885 29.68313333, 48.80898333 29.68303333, 48.80898333 29.68276667, 48.80833333 29.68166667))",635792492128233343,,
Al-basra oil terminal,berth,1,"POLYGON ((48.80833333 29.68166667, 48.808 29.68333333, 48.80863333 29.68321667, 48.80885 29.68313333, 48.80898333 29.68303333, 48.80898333 29.68276667, 48.80833333 29.68166667))",635792492128227775,,
Al-basra oil terminal,berth,1,"POLYGON ((48.80833333 29.68166667, 48.808 29.68333333, 48.80863333 29.68321667, 48.80885 29.68313333, 48.80898333 29.68303333, 48.80898333 29.68276667, 48.80833333 29.68166667))",635792492128124287,,
Al-basra oil terminal,berth,1,"POLYGON ((48.80833333 29.68166667, 48.808 29.68333333, 48.80863333 29.68321667, 48.80885 29.68313333, 48.80898333 29.68303333, 48.80898333 29.68276667, 48.80833333 29.68166667))",635792492128233919,,
Al-basra oil terminal,berth,1,"POLYGON ((48.80833333 29.68166667, 48.808 29.68333333, 48.80863333 29.68321667, 48.80885 29.68313333, 48.80898333 29.68303333, 48.80898333 29.68276667, 48.80833333 29.68166667))",635792492128226495,,
Al-basra oil terminal,berth,1,"POLYGON ((48.80833333 29.68166667, 48.808 29.68333333, 48.80863333 29.68321667, 48.80885 29.68313333, 48.80898333 29.68303333, 48.80898333 29.68276667, 48.80833333 29.68166667))",635792492128210111,,
Al-basra oil terminal,berth,1,"POLYGON ((48.80833333 29.68166667, 48.808 29.68333333, 48.80863333 29.68321667, 48.80885 29.68313333, 48.80898333 29.68303333, 48.80898333 29.68276667, 48.80833333 29.68166667))",635792492128234559,,
Al-basra oil terminal,berth,1,"POLYGON ((48.80833333 29.68166667, 48.808 29.68333333, 48.80863333 29.68321667, 48.80885 29.68313333, 48.80898333 29.68303333, 48.80898333 29.68276667, 48.80833333 29.68166667))",635792492128209727,,
Al-basra oil terminal,berth,1,"POLYGON ((48.80833333 29.68166667, 48.808 29.68333333, 48.80863333 29.68321667, 48.80885 29.68313333, 48.80898333 29.68303333, 48.80898333 29.68276667, 48.80833333 29.68166667))",635792492128223423,,
Al-basra oil terminal,berth,1,"POLYGON ((48.80833333 29.68166667, 48.808 29.68333333, 48.80863333 29.68321667, 48.80885 29.68313333, 48.80898333 29.68303333, 48.80898333 29.68276667, 48.80833333 29.68166667))",635792492128223551,,
Al-basra oil terminal,berth,1,"POLYGON ((48.80833333 29.68166667, 48.808 29.68333333, 48.80863333 29.68321667, 48.80885 29.68313333, 48.80898333 29.68303333, 48.80898333 29.68276667, 48.80833333 29.68166667))",635792492128123839,,
Al-basra oil terminal,berth,1,"POLYGON ((48.80833333 29.68166667, 48.808 29.68333333, 48.80863333 29.68321667, 48.80885 29.68313333, 48.80898333 29.68303333, 48.80898333 29.68276667, 48.80833333 29.68166667))",635792492128227391,,
Al-basra oil terminal,berth,1,"POLYGON ((48.80833333 29.68166667, 48.808 29.68333333, 48.80863333 29.68321667, 48.80885 29.68313333, 48.80898333 29.68303333, 48.80898333 29.68276667, 48.80833333 29.68166667))",635792492128121599,,
