imo,type,number,start,end,Deadweight,ShiptypeLevel5,typnum,vessel_class,time_in,trip_number
9737383.0,anchorage,1,2021-01-28 14:02:46,2021-01-28 14:02:56,112949.0,Crude Oil Tanker,anchorage7,Aframax,0 days 00:00:10,3
9394947.0,berth,3,2021-01-29 17:06:57,2021-01-30 17:43:20,112990.0,Crude Oil Tanker,berth3,Aframax,1 days 00:36:23,1.0
9470131.0,berth,2,2021-01-30 14:17:30,2021-01-31 19:30:14,115984.0,Crude Oil Tanker,berth2,Aframax,1 days 05:12:44,1
9394947.0,anchorage,1,2021-01-31 07:34:01,2021-01-31 07:44:01,112990.0,Crude Oil Tanker,anchorage13,Aframax,0 days 00:10:00,
9724350.0,berth,1,2021-01-31 22:01:00,2021-02-01 18:27:35,112939.0,Crude Oil Tanker,berth1,Aframax,0 days 20:26:35,3
9732541.0,berth,2,2021-02-02 07:44:16,2021-02-04 10:02:10,299011.0,Crude Oil Tanker,berth2,VLCC,2 days 02:17:54,1
9795074.0,berth,4,2021-02-03 03:08:14,2021-02-04 04:56:54,113049.0,Crude Oil Tanker,berth4,Aframax,1 days 01:48:40,2.0
9724336.0,berth,1,2021-02-03 16:42:56,2021-02-04 18:02:39,113611.0,Crude Oil Tanker,berth1,Aframax,1 days 01:19:43,1
9795074.0,anchorage,1,2021-02-04 05:08:24,2021-02-04 05:08:43,113049.0,Crude Oil Tanker,anchorage3,Aframax,0 days 00:00:19,
9385037.0,berth,4,2021-02-04 09:24:50,2021-02-06 06:58:32,320142.0,Crude Oil Tanker,berth4,ULCC,1 days 21:33:42,1
7814254.0,anchorage,1,2021-02-04 21:07:20,2021-02-04 21:08:21,2550.0,Chemical/Products Tanker,anchorage3,Sub Handysize,0 days 00:01:01,
9385037.0,anchorage,1,2021-02-06 07:19:10,2021-02-06 07:24:52,320142.0,Crude Oil Tanker,anchorage3,ULCC,0 days 00:05:42,2
9385037.0,berth,2,2021-02-06 10:48:53,2021-02-07 05:30:46,320142.0,Crude Oil Tanker,berth2,ULCC,0 days 18:41:53,2
9590876.0,berth,2,2021-02-07 18:52:18,2021-02-09 15:04:18,318123.0,Crude Oil Tanker,berth2,VLCC,1 days 20:12:00,1
9846483.0,anchorage,1,2021-02-08 17:37:27,2021-02-08 17:44:10,772.0,Chemical/Products Tanker,anchorage6,Sub Handysize,0 days 00:06:43,
9737395.0,berth,3,2021-02-09 09:30:39,2021-02-10 10:46:03,113004.0,Crude Oil Tanker,berth3,Aframax,1 days 01:15:24,2
9795062.0,anchorage,1,2021-02-09 20:18:27,2021-02-09 20:27:31,113416.0,Crude Oil Tanker,anchorage13,Aframax,0 days 00:09:04,1
9795062.0,berth,4,2021-02-09 22:34:07,2021-02-11 00:33:09,113416.0,Crude Oil Tanker,berth4,Aframax,1 days 01:59:02,1
9358541.0,anchorage,1,2021-02-10 05:56:54,2021-02-10 06:27:15,105365.0,Crude Oil Tanker,anchorage13,Aframax,0 days 00:30:21,1
9358541.0,berth,1,2021-02-10 08:32:35,2021-02-11 08:17:39,105365.0,Crude Oil Tanker,berth1,Aframax,0 days 23:45:04,1
9856062.0,anchorage,1,2021-02-11 20:54:22,2021-02-11 20:54:43,49999.0,Chemical/Products Tanker,anchorage4,Handysize,0 days 00:00:21,
9734111.0,berth,2,2021-02-12 18:05:41,2021-02-14 11:06:57,299999.0,Crude Oil Tanker,berth2,VLCC,1 days 17:01:16,1
9737383.0,berth,1,2021-02-14 01:43:59,2021-02-15 08:49:59,112949.0,Crude Oil Tanker,berth1,Aframax,1 days 07:06:00,3
