port_name,type,number,geometry,H3_int_index_13,H3_int_index_7
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082231679,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082225215,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082229503,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082230847,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082222271,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082223551,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082227071,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082221439,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082303423,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082309247,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082228543,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082302335,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082304639,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082235839,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082245183,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082307007,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082306495,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082221695,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082228479,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082228607,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082311615,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082309055,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082293055,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082004287,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082288959,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082312255,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082288767,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082287551,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082292991,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082220863,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082310847,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082234751,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082221183,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082244735,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082305279,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082307519,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082311295,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082394047,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082306367,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082310271,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082312767,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082003391,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082311231,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082005951,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082230527,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082005887,
Mongstad,berth,1,"POLYGON ((4.86166667 60.615, 4.86166667 60.61666667, 4.861715 60.61747, 4.86178667 60.61758167, 4.861933333333333 60.61763333333333, 4.861983333333334 60.61765, 4.86215 60.61768333333333, 4.862283333333333 60.61763333333333, 4.862915 60.61605, 4.86166667 60.615))",635174782082224255,
