port_name,H3_int_index_5,H3_int_index_7,convex_hull,number,type,area,length,shape_factor
Al-basra oil terminal,599763695442067455,608770894378041343,"POLYGON ((48.80833333 29.67833333, 48.805 29.68166667, 48.805 29.68333333, 48.80584 29.68354667, 48.80586333 29.683545, 48.80856333 29.68315333, 48.80883333 29.6831, 48.80893333 29.68303333, 48.81175 29.68056667, 48.81243667 29.67964, 48.81243667 29.679635, 48.81166667 29.67833333, 48.80833333 29.67833333))",1,berth,2.4644669652796678e-05,0.020142558142070034,0.7633146773180466
Al-basra oil terminal,599763695442067455,608770893874724863,"POLYGON ((48.85666667 29.635, 48.85333333 29.63666667, 48.855 29.64, 48.85561667 29.6406, 48.8565 29.64113333, 48.85715 29.6414, 48.8578 29.64148333, 48.85865 29.64156667, 48.85891667 29.6415, 48.85993333 29.64111667, 48.8601 29.64105, 48.86050833 29.64078, 48.86083833 29.64048, 48.86133333 29.63995, 48.8618 29.63936667, 48.86193333 29.6388, 48.86186667 29.63738333, 48.86166667 29.63666667, 48.86 29.635, 48.85666667 29.635))",2,SPM,4.177753136664398e-05,0.023941222914295734,0.9159251352535996
Al-basra oil terminal,599763695442067455,608770894344486911,"POLYGON ((48.825 29.66333333, 48.82475333 29.66677833, 48.82475167 29.666875, 48.825 29.66833333, 48.82554667 29.66879333, 48.82650333 29.66943667, 48.82682167 29.66960167, 48.82816833 29.669785, 48.83 29.67, 48.83098 29.66882667, 48.83131 29.66834167, 48.831845 29.6675, 48.83196333 29.666355, 48.83166667 29.665, 48.83 29.66333333, 48.825 29.66333333))",3,SPM,4.005474401388929e-05,0.02346694286022529,0.9140096749254774
Al-basra oil terminal,599763668598521855,608770867115065343,"POLYGON ((48.8 29.7, 48.79666667 29.70166667, 48.795 29.70333333, 48.79666667 29.70666667, 48.797595 29.70708167, 48.79854167 29.70744333, 48.79917833 29.70748833, 48.799645 29.70749, 48.80021667 29.70742167, 48.80049667 29.70734667, 48.800855 29.70722167, 48.80130833 29.70698833, 48.80164667 29.70677833, 48.8021 29.70649, 48.80238167 29.70619833, 48.80304333 29.70516333, 48.80304667 29.704645, 48.80304167 29.70411833, 48.80299 29.70353333, 48.80276 29.70293167, 48.802565 29.70265833, 48.80166667 29.70166667, 48.8 29.7))",4,SPM,4.111350729999785e-05,0.023577398796982472,0.9293998805142845
Al-basra oil terminal,599763695442067455,608770893841170431,"POLYGON ((48.84666667 29.65166667, 48.84333333 29.65333333, 48.84166667 29.655, 48.84406667 29.65763333, 48.846 29.65868333, 48.84636667 29.65865, 48.8486 29.65833333, 48.84988333 29.65675, 48.85015 29.65596667, 48.85021667 29.65535, 48.85025167 29.65485, 48.85 29.65388333, 48.849775 29.653575, 48.84943667 29.65323333, 48.84905 29.65284667, 48.8486 29.65255667, 48.84666667 29.65166667))",5,SPM,4.01637007222529e-05,0.02352966088467246,0.9116166532497576
