port_name,type,number,geometry,H3_int_index_13
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580166021311
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580176729215
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580176716607
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580176716735
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580176717887
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580175774015
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580166026815
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580166032511
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580176730751
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580176717183
