imo,typnum,visit_num,start,end,Deadweight,ShiptypeLevel5,type,number,time_difference,port_name
,berth4,9,2022-11-08 10:46:28,2022-11-11 19:43:28,,,berth,4,3 days 08:57:00,MONGSTAD
9893058.0,berth1,0,2022-07-18 09:27:26,2022-07-19 07:30:48,113306.0,Crude/Oil Products Tanker,berth,1,0 days 22:03:22,MONGSTAD
9542984.0,berth2,0,2022-06-19 23:18:51,2022-06-20 23:19:49,15188.0,LPG Tanker,berth,2,1 days 00:00:58,MONGSTAD
9767340.0,berth2,0,2022-11-03 13:10:34,2022-11-04 11:08:12,109896.0,Crude/Oil Products Tanker,berth,2,0 days 21:57:38,MONGSTAD
9892444.0,berth2,0,2022-07-01 09:54:47,2022-07-02 12:18:52,112459.0,Crude Oil Tanker,berth,2,1 days 02:24:05,MONGSTAD
9892444.0,berth2,1,2022-12-28 10:10:23,2022-12-29 15:13:15,112459.0,Crude Oil Tanker,berth,2,1 days 05:02:52,MONGSTAD
9726580.0,berth2,0,2022-08-20 22:45:00,2022-08-21 22:25:56,109900.0,Crude/Oil Products Tanker,berth,2,0 days 23:40:56,MONGSTAD
9910533.0,berth2,0,2022-08-27 21:49:14,2022-08-28 16:46:19,112066.0,Crude Oil Tanker,berth,2,0 days 18:57:05,MONGSTAD
9910533.0,berth2,1,2022-12-05 09:53:23,2022-12-06 12:08:21,112066.0,Crude Oil Tanker,berth,2,1 days 02:14:58,MONGSTAD
9910533.0,berth3,0,2022-07-21 00:41:46,2022-07-22 00:11:45,112066.0,Crude Oil Tanker,berth,3,0 days 23:29:59,MONGSTAD
9910533.0,berth3,1,2022-11-16 16:46:21,2022-11-17 11:03:49,112066.0,Crude Oil Tanker,berth,3,0 days 18:17:28,MONGSTAD
9717278.0,berth1,0,2022-08-05 09:06:26,2022-08-07 08:17:33,39043.0,Chemical/Products Tanker,berth,1,1 days 23:11:07,MONGSTAD
9737395.0,berth1,0,2022-06-10 15:57:12,2022-06-11 16:11:34,113004.0,Crude Oil Tanker,berth,1,1 days 00:14:22,MONGSTAD
9865104.0,berth2,0,2022-12-21 15:25:14,2022-12-22 14:41:03,115468.0,Crude/Oil Products Tanker,berth,2,0 days 23:15:49,MONGSTAD
9676137.0,berth3,0,2022-09-21 22:38:48,2022-09-22 17:58:02,120567.0,Shuttle Tanker,berth,3,0 days 19:19:14,MONGSTAD
9676137.0,berth3,1,2022-11-08 09:27:16,2022-11-09 06:15:59,120567.0,Shuttle Tanker,berth,3,0 days 20:48:43,MONGSTAD
9628300.0,berth4,0,2022-10-29 12:06:38,2022-10-30 13:32:01,123166.0,Shuttle Tanker,berth,4,1 days 01:25:23,MONGSTAD
9628300.0,berth4,1,2022-11-11 19:54:27,2022-11-12 17:15:29,123166.0,Shuttle Tanker,berth,4,0 days 21:21:02,MONGSTAD
9785237.0,berth1,0,2022-09-26 15:59:59,2022-09-27 15:05:39,159055.0,Crude Oil Tanker,berth,1,0 days 23:05:40,MONGSTAD
9791004.0,berth1,0,2022-07-14 08:03:57,2022-07-15 03:34:01,109898.0,Crude/Oil Products Tanker,berth,1,0 days 19:30:04,MONGSTAD
9273064.0,berth2,0,2022-07-09 21:34:07,2022-07-11 15:28:47,148644.0,Shuttle Tanker,berth,2,1 days 17:54:40,MONGSTAD
9273064.0,berth2,1,2022-07-25 20:00:19,2022-07-26 22:22:13,148644.0,Shuttle Tanker,berth,2,1 days 02:21:54,MONGSTAD
9273064.0,berth2,2,2022-08-11 15:11:44,2022-08-13 03:28:22,148644.0,Shuttle Tanker,berth,2,1 days 12:16:38,MONGSTAD
9783007.0,berth2,0,2022-06-16 08:12:39,2022-06-17 09:14:45,112038.0,Crude Oil Tanker,berth,2,1 days 01:02:06,MONGSTAD
9783007.0,berth2,1,2022-07-29 23:57:06,2022-07-30 21:50:57,112038.0,Crude Oil Tanker,berth,2,0 days 21:53:51,MONGSTAD
9273064.0,berth3,0,2022-11-25 00:21:25,2022-11-26 10:54:18,148644.0,Shuttle Tanker,berth,3,1 days 10:32:53,MONGSTAD
9293155.0,berth3,0,2022-06-06 09:40:48,2022-06-07 11:26:48,106062.0,Crude Oil Tanker,berth,3,1 days 01:46:00,MONGSTAD
9815616.0,berth4,0,2022-10-20 10:02:51,2022-10-21 06:35:17,114218.0,Crude/Oil Products Tanker,berth,4,0 days 20:32:26,MONGSTAD
9938030.0,berth4,0,2022-12-16 18:15:05,2022-12-18 08:21:06,115429.0,Crude Oil Tanker,berth,4,1 days 14:06:01,MONGSTAD
