port_name,type,number,geometry,H3_int_index_13,H3_int_index_10,H3_int_index_7
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306167999,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306755263,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306168191,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306170175,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306167103,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306169919,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306168255,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306115199,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306124479,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306115263,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306755135,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306168639,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306169151,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306168063,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306166975,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306755455,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306167935,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306166847,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306122367,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306115327,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306168127,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306124671,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306169983,,
Al jubayl,berth,1,"POLYGON ((49.71833333 27.08666667, 49.7182 27.08713333, 49.7183 27.08731667, 49.7186 27.08728333, 49.71861833 27.08697, 49.71833333 27.08666667))",636474538306170239,,
Al jubayl,berth,2,"POLYGON ((49.7205 27.08301167, 49.72020667 27.08305667, 49.72023167 27.08355, 49.72029667 27.08375667, 49.72051667 27.08357333, 49.72078333 27.08333667, 49.7205 27.08301167))",636474538305937471,,
