min_pts,eps,n_cluster,sil_score
3,10,12,0.8127368609812111
6,10,12,0.8127368609812111
9,10,12,0.8125402143525506
12,10,11,0.8237960149039414
15,10,11,0.8237960149039414
3,20,11,0.846015786251723
6,20,11,0.846015786251723
9,20,11,0.846015786251723
12,20,10,0.8592153030768087
15,20,10,0.8592153030768087
3,30,10,0.8647160806227817
6,30,10,0.8647160806227817
9,30,10,0.8647160806227817
12,30,10,0.8647160806227817
15,30,10,0.8647160806227817
3,40,10,0.865353159154147
6,40,10,0.865353159154147
9,40,10,0.865353159154147
12,40,10,0.865353159154147
15,40,10,0.865353159154147
3,50,9,0.8703726704289565
6,50,9,0.8703726704289565
9,50,9,0.8703726704289565
12,50,9,0.8703726704289565
15,50,9,0.8703726704289565
3,60,8,0.8194094629553287
6,60,8,0.8194094629553287
9,60,8,0.8194094629553287
12,60,8,0.8194094629553287
15,60,8,0.8194094629553287
3,70,8,0.8194094629553287
6,70,8,0.8194094629553287
9,70,8,0.8194094629553287
12,70,8,0.8194094629553287
15,70,8,0.8194094629553287
3,80,7,0.7094512036325216
6,80,7,0.7094512036325216
9,80,7,0.7094512036325216
12,80,7,0.7094512036325216
15,80,7,0.7094512036325216
3,90,6,0.7458515792033049
6,90,6,0.7458515792033049
9,90,6,0.7458515792033049
12,90,6,0.7458515792033049
15,90,6,0.7458515792033049
3,100,6,0.7458515792033049
6,100,6,0.7458515792033049
9,100,6,0.7458515792033049
12,100,6,0.7458515792033049
15,100,6,0.7458515792033049
3,110,5,0.8189558990341481
6,110,5,0.8189558990341481
9,110,5,0.8189558990341481
12,110,5,0.8189558990341481
15,110,5,0.8189558990341481
3,120,3,0.8581800382295209
6,120,3,0.8581800382295209
9,120,3,0.8581800382295209
12,120,3,0.8581800382295209
15,120,3,0.8581800382295209
3,130,3,0.8581800382295209
6,130,3,0.8581800382295209
9,130,3,0.8581800382295209
12,130,3,0.8581800382295209
15,130,3,0.8581800382295209
3,140,3,0.8581800382295209
6,140,3,0.8581800382295209
9,140,3,0.8581800382295209
12,140,3,0.8581800382295209
15,140,3,0.8581800382295209
3,150,3,0.8581800382295209
6,150,3,0.8581800382295209
9,150,3,0.8581800382295209
12,150,3,0.8581800382295209
15,150,3,0.8581800382295209
3,160,3,0.8581800382295209
6,160,3,0.8581800382295209
9,160,3,0.8581800382295209
12,160,3,0.8581800382295209
15,160,3,0.8581800382295209
3,170,3,0.8581800382295209
6,170,3,0.8581800382295209
9,170,3,0.8581800382295209
12,170,3,0.8581800382295209
15,170,3,0.8581800382295209
3,180,3,0.8581800382295209
6,180,3,0.8581800382295209
9,180,3,0.8581800382295209
12,180,3,0.8581800382295209
15,180,3,0.8581800382295209
3,190,3,0.8581800382295209
6,190,3,0.8581800382295209
9,190,3,0.8581800382295209
12,190,3,0.8581800382295209
15,190,3,0.8581800382295209
3,200,3,0.8581800382295209
6,200,3,0.8581800382295209
9,200,3,0.8581800382295209
12,200,3,0.8581800382295209
15,200,3,0.8581800382295209
3,210,3,0.8581800382295209
6,210,3,0.8581800382295209
9,210,3,0.8581800382295209
12,210,3,0.8581800382295209
15,210,3,0.8581800382295209
3,220,3,0.8581800382295209
6,220,3,0.8581800382295209
9,220,3,0.8581800382295209
12,220,3,0.8581800382295209
15,220,3,0.8581800382295209
3,230,3,0.8581800382295209
6,230,3,0.8581800382295209
9,230,3,0.8581800382295209
12,230,3,0.8581800382295209
15,230,3,0.8581800382295209
3,240,3,0.8581800382295209
6,240,3,0.8581800382295209
9,240,3,0.8581800382295209
12,240,3,0.8581800382295209
15,240,3,0.8581800382295209
3,250,3,0.8581800382295209
6,250,3,0.8581800382295209
9,250,3,0.8581800382295209
12,250,3,0.8581800382295209
15,250,3,0.8581800382295209
3,260,3,0.8581800382295209
6,260,3,0.8581800382295209
9,260,3,0.8581800382295209
12,260,3,0.8581800382295209
15,260,3,0.8581800382295209
3,270,3,0.8581800382295209
6,270,3,0.8581800382295209
9,270,3,0.8581800382295209
12,270,3,0.8581800382295209
15,270,3,0.8581800382295209
3,280,3,0.8581800382295209
6,280,3,0.8581800382295209
9,280,3,0.8581800382295209
12,280,3,0.8581800382295209
15,280,3,0.8581800382295209
3,290,3,0.8581800382295209
6,290,3,0.8581800382295209
9,290,3,0.8581800382295209
12,290,3,0.8581800382295209
15,290,3,0.8581800382295209
